
 -------------------
 Chemistry versus mixing ratio
 -------------------

 ------------------------
 Concentration of species

 Local Chemistry                    Ca+2               SO4-2              Gypsum
                          (mol/kg_water)      (mol/kg_water)     (mol/mol_phase)
 ------------------- ------------------- ------------------- -------------------
   0.000000           0.500372074490E-03  0.502003720745E-01  0.100000000000E+01
   0.100000           0.708303822126E-03  0.354634035994E-01  0.100000000000E+01
   0.200000           0.119579504759E-02  0.210059946022E-01  0.100000000000E+01
   0.300000           0.313840518990E-02  0.800370340833E-02  0.100000000000E+01
   0.400000           0.121474338662E-01  0.206783297541E-02  0.100000000000E+01
   0.500000           0.259909466869E-01  0.966446686905E-03  0.100000000000E+01
   0.600000           0.405882735499E-01  0.618869986776E-03  0.100000000000E+01
   0.700000           0.553679696188E-01  0.453671400415E-03  0.100000000000E+01
   0.800000           0.702169340672E-01  0.357732285648E-03  0.100000000000E+01
   0.900000           0.850992677700E-01  0.295171333119E-03  0.100000000000E+01
   1.000000           0.100000188170E+00  0.251188170489E-03  0.100000000000E+01

 ---------------------------
 Concentration of components

 Local Chemistry     Ca-SO4                                                      Ca                                                         
                                  Liquid                 Gas            Immobile              Liquid                 Gas            Immobile
                          (mol/m3_phase)      (mol/m3_phase)     (mol/m3_medium)      (mol/m3_phase)      (mol/m3_phase)     (mol/m3_medium)
 ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- -------------------
   0.000000          -0.497000000000E+02  0.000000000000E+00  0.000000000000E+00  0.500372074490E+00  0.000000000000E+00  0.100000000000E+00
   0.100000          -0.347550997773E+02  0.000000000000E+00  0.000000000000E+00  0.708303822126E+00  0.000000000000E+00  0.204841000205E+01
   0.200000          -0.198101995546E+02  0.000000000000E+00  0.000000000000E+00  0.119579504759E+01  0.000000000000E+00  0.394090810853E+01
   0.300000          -0.486529821843E+01  0.000000000000E+00  0.000000000000E+00  0.313840518990E+01  0.000000000000E+00  0.554238257990E+01
   0.400000           0.100796008908E+02  0.000000000000E+00  0.000000000000E+00  0.121474338662E+02  0.000000000000E+00  0.573057304795E+01
   0.500000           0.250245000000E+02  0.000000000000E+00  0.000000000000E+00  0.259909466869E+02  0.000000000000E+00  0.495186668712E+01
   0.600000           0.399694035631E+02  0.000000000000E+00  0.000000000000E+00  0.405882735499E+02  0.000000000000E+00  0.402239811089E+01
   0.700000           0.549142982184E+02  0.000000000000E+00  0.000000000000E+00  0.553679696188E+02  0.000000000000E+00  0.305645450734E+01
   0.800000           0.698592017816E+02  0.000000000000E+00  0.000000000000E+00  0.702169340672E+02  0.000000000000E+00  0.207665841404E+01
   0.900000           0.848040964369E+02  0.000000000000E+00  0.000000000000E+00  0.850992677700E+02  0.000000000000E+00  0.109018728373E+01
   1.000000           0.997490000000E+02  0.000000000000E+00  0.000000000000E+00  0.100000188170E+03  0.000000000000E+00  0.100000000000E+00

 -----------------------------
 Saturation index of reactions

 Local Chemistry             Dissolution                                        
 ------------------- -------------------
   0.000000              -0.000000000000
   0.100000               0.000000000000
   0.200000               0.000000000000
   0.300000               0.000000000000
   0.400000              -0.000000000000
   0.500000               0.000000000000
   0.600000              -0.000000000000
   0.700000              -0.000000000000
   0.800000               0.000000000000
   0.900000               0.000000000000
   1.000000              -0.000000000000

 ----------------------------------------------
 Volume fraction of phases (m3_phase/m3_medium)

 Local Chemistry                  Gypsum
 ------------------- -------------------
   0.000000           0.100000000000E+00
   0.100000           0.204841000205E+01
   0.200000           0.394090810853E+01
   0.300000           0.554238257990E+01
   0.400000           0.573057304795E+01
   0.500000           0.495186668712E+01
   0.600000           0.402239811089E+01
   0.700000           0.305645450734E+01
   0.800000           0.207665841404E+01
   0.900000           0.109018728373E+01
   1.000000           0.100000000000E+00
